,precision,recall,f1-score,support
angry,0.810077519379845,0.7206896551724138,0.7627737226277372,290.0
calm,0.56,0.6666666666666666,0.6086956521739131,21.0
disgust,0.5227272727272727,0.5629370629370629,0.5420875420875421,286.0
fear,0.6300813008130082,0.5290102389078498,0.575139146567718,293.0
happy,0.527027027027027,0.5842696629213483,0.5541740674955595,267.0
neutral,0.5540983606557377,0.6525096525096525,0.599290780141844,259.0
sad,0.6557971014492754,0.6013289036544851,0.6273830155979203,301.0
surprise,0.8468468468468469,0.8703703703703703,0.8584474885844748,108.0
accuracy,0.6241095890410959,0.6241095890410959,0.6241095890410959,0.6241095890410959
macro avg,0.6383319286123765,0.6484727766424812,0.6409989269095886,1825.0
weighted avg,0.6322621262356768,0.6241095890410959,0.6259042190571089,1825.0
